ideal_durations,budget_levl,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,best_months,city,city_photo,short_description
"[""Shorttrip""]",3,1,0,0,0,1,1,1,1,0,"04, 05, 09","Milan, Italy",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHotklcnJl_pCS9Sq02PdWRoYnDHREFTUDsdtYuijVFKdWGFxdLxlONr60LEv58tJu_78tn9BKYUjNsLvXNnJ0116xiqkIt0EWEgsm8AREfpktW_P4ZCLpc0dYiY_-jufYUW72nlhBhjdkDS_IQVjOgTSbA5RKiejW3acS8DQlOVYdrh2hqfZ2hIorJVme7eO1qc2hUQ8cWIXwPK9Sk2s9zKPwWW4xcSTWN1s9fZS1Y1LVFS5Wqkc2pCYdwoy2eousrriIAVGtygbdMnzpo8H9d307_vdVembr785S0SilaACxvURtn1UAl3EzOtdU5969QxAneoOtfnuE6UZr92i7H3e8VHZViqmhWxp_AbuGf9VHrTwtJ_-vLNo5-Nx2Y5_ANs2D7jWbeYJUPdu8F2dSFNjWhZg7OnnjfTgB8KK6s6RqsD4s5nb__K6KDQ3lXZ9_EZBLoj9QMyW8sNicwnCe2oqN5X32tMWAxEeRvaJlOWqheZ2IhLKn-kY__hLtV6hHhTUrIKlSfx1t6O8NCr1GjyvNSFY_9Ri547Geqh-F3qUnekpJ4f-teoBrqyBfneF1JFowZW&key=AIzaSyD_7BLKnsQVpu3qP-U3UJYD9otw4lGEnEo,"Chic streets lined with fashion boutiques, historic architecture, and lively piazzas create a sophisticated yet welcoming atmosphere, perfect for leisurely exploration."
"[""Longtrip""]",3,0,1,1,1,0,1,1,0,1,"05, 06, 07","Yasawa Islands, Fiji",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHqzFi7EXJFl__BK4bMgzINozFWUqJdco6vJMf5luBV8lTMrODH92WlkBRE9tP-uFybpDNSmyC_MiPnvn5s2juC5XvANlqQS0KvihS-hLZdzbUWGAD_yyp7TRYyx2Bokz1tnltUsxQyjVK_0y4ylAtWFKn1S6MQOI1ISHajeKmQcH_-1X2t2qzjtsox9_vvAlyuxsaYr0TOTA5bBVVG3mmaVQ_Guapb7pz8seZj6s__JE8YoHD-sSyF1yd6VciXsv0bhK7hxHBKpTAbr4Koqqs_oO7YIXU5hNbkWxsjvvboAQV2t-pg&key=AIzaSyD_7BLKnsQVpu3qP-U3UJYD9otw4lGEnEo,"Crystal-clear waters, secluded beaches, and vibrant coral reefs create a serene paradise perfect for unwinding and immersing in natural beauty."
"[""Shorttrip""]",3,1,1,1,0,1,1,1,0,1,"12, 01, 02","Whistler, Canada",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHpAozznHTaxqgAHoZq-LwUHbdgCLlbajkQCyIKscVJQUu-m-ZYgSeUoAen2zZKmxO7xV-cvb_NHs3ldcIEvgH5Vl9pFHZKAvE1h7Dd-CWsBAbJ87pD4Cl7c4ENLAP9fPRkkDHQSCs5J73x73p4w4HnXxWi3PK1hD4_JhtBjUwKeRXBtxKP5MSSObg9IcTpS-98w4_j3gqLsqoslYfV6_mQMHtnOEac4mfItxoiuZt9pgGU2X8W22u0uqUegDVX_6Fgv6oGoDapJ2hbBtnHKSfcuUGn69oeVppMxdIvNoGo6-VnjOAg&key=AIzaSyD_7BLKnsQVpu3qP-U3UJYD9otw4lGEnEo,"Snow-capped peaks and lush forests create a serene escape, where outdoor adventures meet cozy village vibes and crisp mountain air."
"[""Shorttrip""]",2,1,1,1,0,1,1,1,1,0,"11, 12, 01","Guanajuato, Mexico",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHoG-R_9Eqe0vHCusc72n72PsENCghl8E3bUzdwjR1BueIqKG4nff2CBFwCevTfFiAhAgvHSi6sjK0c3mB2p_Kt9ZFvsucd6ZXBLP8-uDVQzTIk9lbGd21oHkXMTmTE6cf7E1YWAt0qab61oe78Mwut98TF3viExfHoy_bMfTg3FMjylInGYtMUCKGR1NStNVdI-ZvsGYygwhDkSlnHgaAOJ_5gdc2eWTDItycOcPjOmn6zQGup0ox3r9RqSgbAUETvmgRDop08xrPEklFiNW3FKEdJLjhBjb74PLrIYRFR08U5u3U8x2Q7Gz2AL_uLAdetbxfxjRLu1BmWVVRwFcEiF36Vjk8zYICZo165aD0ytUgJBM08dTyBRhO5TNxD9VxsPMvSNgW_qxMxXMlyu_fS9UXXysoZb_juEJx-VyzLdzbM3OwDFUV8FKX-byHtgdS6Txm520eT_SysNpQ4mdHPUDAmh3KK4AUYFM0s-sCIntRlolGPNHhiwRHTnOY0hFCinfnNVG6i3Ugxd32JeSUy_xnbDBPYqfZxNB3fBoQ6nIsR1w8oflmifNaQncLVppgRA28r1XTpuVA&key=AIzaSyD_7BLKnsQVpu3qP-U3UJYD9otw4lGEnEo,"Winding cobblestone streets and colorful facades create a charming, vibrant atmosphere, where history and lively festivals fill the air with excitement."
"[""Shorttrip""]",1,1,1,1,0,1,1,1,1,0,"06, 07, 08","Surabaya, Indonesia",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHrwET3gLQPyrAGv3HIARD9wiSDzxOcanS26FfndndWuxbaZM_ahT-qI7joBmTiFgXexuGhjC7RX1w0YAfpj-fQAPl2EqJjVlOIFY15OhXWO5mL6IzXZ7_cACiiM4okmRppflkFF2DJk_9DYZ6OiTgfzSzWqmtkSX8w5cHOA1y-Jljzx5rWG0UCTxVtSizu2B6PKmfyRo_dzG8OmJo4ZxTHHU_pSyFaZK7b7ItoFyqfniwVVxLgk5sKjDFWl-GkAFhmGOKrE3X1GtY8QYz97yZG5R7fF2E-XssCwXGyGWUf-oW9-Foa73vDTfIEtgISz6_LO6Ej5H9nbGdUg1DfwD4jAO_L74yg9pzO0PuvSuSkRAP__cofd8I8yGismw-jFKyXuwUa-qquQG-2yZ34ai70eItH9s80QeTVKhDkrdzBMTmKMxVzcAgr3_l3qTAu5OyHSJcHTqIfBwCB8oWhq4GRzY9SBgMOZJk9FQqVgbFrzItTHxq6WJtbHrEbcvdM4cN6rXRV0O_L-t_L1PsOZfxt2ky7jDpO92yPtyORLUOzOlVC7WObltt0LwKfhmbXeIvbCLd3YKYzBdQ&key=AIzaSyD_7BLKnsQVpu3qP-U3UJYD9otw4lGEnEo,"Bustling streets filled with the aroma of local spices, vibrant markets, and a rich cultural tapestry invite exploration and discovery."
"[""Shorttrip""]",3,1,1,1,0,0,1,0,0,1,"06, 07, 08","Nuuk, Greenland",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHrIiEbfGkDU6WlK_HR1h24pscNHPNZL357vXhiygA33tomlLIc684bg0RMx1p0sZ9bSxUOpi_oRFOZudYGRO7QA7RB8PzELhfBg1dIUXD567oGfub0yz178Id_HF-to9lB3R1wfnZL2WO3zHXZmOqB36B1Y8GYg_3vlkKImJOnSzbIpiaWNrKaE3ZfSwRARn6jVOobkoBt81SzPHCx1RHvQ28gYkQUX6485Oul_BSY7zDGRiTqY_CbeVGfpo9ufh0EVNCmo7Pf9VNpgmO8Kpb-Aalk6a5YutUNeab65nT0ha5wHokwvSKdRHGNl7K0mM8In-gStgMPIa-zygiiwYZtioiECDq4i_x7eavvH-ze6M0_3ZJvV6xochH0Vm-tXv88vLeZjo2km2g97f6QN9XcknyRV3FfEZ_y3sEn1qk-SaRGgv7bAnFvJf0li0GyFDPGMR7lTpmlU_SyOGHJb5VNMzlb5Unhhd-4I0WafUF42emFrA-ijNJC-1P5rIR7fGHCkwCslDKuKKPg3_xN2zrUDUJ4hk691yy7ccLthYoQpyyxUEFBdfuG2yRg5gjkg-uJNJfWi&key=AIzaSyD_7BLKnsQVpu3qP-U3UJYD9otw4lGEnEo,"Rugged landscapes meet the calm of icy fjords, where the crisp air and vibrant local culture create a unique Arctic charm."
"[""Shorttrip""]",2,1,1,1,0,1,1,1,1,1,"05, 06, 07","Windhoek, Namibia",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHrZJsCWmmQ3bayQg6aEYOxfxzvRQYL27ac4s7s6jl8jzs4UO8EAVvHUQmWlN3ZhQuR8_TJL_m520ikhv3kMZ5n75uKli7B0lo50D9gM-UDe54xcvfUAPzSIrfcAwX2PiVMGiGjVisGdv40xQ8mqlNKcz_H1f-ZZndiTQQuPxJY-K-dytr4q8BF9-FnZ0x63AQ3EDr0x4vyiXr3yABBKESp30_hNk4wAPbUS2Foy40mPoovE2opSzLJEK3tq9D7HJx1lB-a6-8SmHip63vCNYEP0mqjo566oYPwKaRC6GlzHFNqvoHCosXw4UosAIHqaKyZrIqZPTrj2e50usfuDWtB_AtPCOXfXAUhTc4GDjdnfntry6oDJ8snd2m-rrutrfphJgvNC87enZUqy9xLJyFW2n1GeOkCrKp5mabzH92NMRp2-uJA4EIMV8Z86OPWiqWF741z3YohJRKqKEWcdKw6OewHy_9K760H_kYHWPBOTKFJx6VAQnykWFZ6rYN5PFcF8HQw4I9qcEGSpQOLc_JHOfUyvVsJtDT26GDBmZ1f6E3URybpv5rBJC05bJjGJDTI3WMEE&key=AIzaSyD_7BLKnsQVpu3qP-U3UJYD9otw4lGEnEo,"A blend of modernity and tradition, with bustling markets, German colonial architecture, and the vast Namibian landscape providing a unique backdrop."
"[""Shorttrip""]",2,1,1,1,1,1,1,1,1,0,"12, 01, 02","Kingston, Jamaica",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHo8MlBVm6KyGc61EQnUEOo1DDT9_yc2vTq6dEn5RIRmxe7RXUJIMGXT17pIaJaQEEOq6VmsdKfbUE_WzCWqNmee69LFp1EoVDLR7AvJC2r0riNAJpF7cxkZ3fenNAkG933s9AkVBT4TyCiL8FSFqLZ0Rzl90qQu3WiP0gQ6KwVZfI2ZAb04maz2CUl_TCn3J01GFrHKe1B3Yc-hpD99UU-94CPFDJ4jaFTU0x85sFPw_AO13yMxTXSnPY1u-e5gaa4exJFgsZpM9aQilVfuyP5EA214ThZ8MCaHEZl2dd8IBOJce-lfKMgwIhPPJKz78MrlKQMHKxGEoWmT7VOjm9e3vjXQQclbcHhXK6swgDxf9CMzlGSa_-Cs9S5pH7QgUZjKK_djDTDd3B8DApXY9Z8fp15SviBGjhyP9rUy3oLf-1dp1elPsTYHE2IizHvtfq6uIP5GifwV96jiPHkK94FJAKyfJWQxkKt_3bT_6u748RKK_VGKW7bLmjm5pQtXuZ2zQ2bRwIC4CAn1LBsVWNpb4JaPN5gGLpakY5RSZUVi9W5dxk3fv3DjIk_oEjdot2Bez164&key=AIzaSyD_7BLKnsQVpu3qP-U3UJYD9otw4lGEnEo,"Vibrant streets pulse with reggae rhythms, while lush hills and beaches offer a serene escape, creating a captivating blend of energy and tranquility."
"[""Shorttrip""]",2,1,1,1,1,1,1,1,1,1,"05, 06, 09","Nafplio, Greece",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHr3vuzHkiLA5cH9_EB_uAAbaSASaMxT0ZnxRmSaN8gZ3BQBM73gi16cEZlsTPNCyHA2sy4mo9XI55WtoUJcKDmXs30uV5g9EEMmH_MNSkHcc9W8nanVEu7SupAB96nll_mUrgt_GGIerZvzNl5UW-hyHrGXz1btGpoSr_WQO8HBJyoKD-G75xX0behp643z_Pyq8pUorFBmzgqhgmrcQKZBNMbRsBOZTa_w-pE-G-MEZrNjB2X-UvtAka8y-E7iwQxXS7WMQGZqKbUaFrjsiuq3tRNLo6NPNfYpeS16M4JeZImmHeyxPIfd8lz2zR2z9POt9T9Qf4mHiEIbE3pn0k3BnU4BIOHl_8Iz_M6-lCtAO0sL63WmgPpyxwfq7NZN4yK0SVmkTMs9_Q8DtitUP-lm0au9v8mKhli5AuUZ7D5dwmHGP7dh2o_jRCtbm3eyVIcKy5BHnPmvVG7eRlTaHi3LiIvvouvvLjxoj5emFO43EnA9cdveIx9sd_HONBYgCVw2b9iXI3RF9AaKRWppqMrG0i1WqzjiMa8ARU6yS-wWoi4GGjt9cbWhWFMKlkAA7iuE19MToMfgLA&key=AIzaSyD_7BLKnsQVpu3qP-U3UJYD9otw4lGEnEo,"Charming cobblestone streets, vibrant bougainvillea, and the gentle sea breeze create a serene atmosphere perfect for leisurely exploration and relaxation."
"[""Shorttrip""]",1,1,1,1,0,1,1,1,1,1,"05, 06, 09","Tbilisi, Georgia",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHr_RcFpZfLZuipuBAMFnaFgxAH9r_POaE_vHLf4kGkT6sAuOajR0HwKE8IcYfGz5E-3Q-OXVykaBRvu0DGRBs6DYYkKugMIW8TXcEtP9fpqAa9gUTe10Is7rAhEzy3TavfwzpxzFCq8jc1Irjo3msq89YlfmBrBBpZ-RO2Y1QC16AsG6gGQahPgd0PjRwAYId3xsmhdLO2yoMjpo2JG4L8mcZGFCqEfOO0zmxargl0fDHCabv4pEjsJ3lv14YKKvV1eD2eKt2xyimDUjQFQ7S5PxlJMQO7N4yW6kaN30xbWEYlyRsO_8j_EJ9Z4XRgTuaKe-Q6_s6CuRDrbgmPAJgtj8542en8eFGZZtcsZhrja3yn-BiUkWpcGg1FBUA-OKceOpY9e4t3YZatBGBr9Eu6XrnvClazYMJATuQy1G7R6J-KEL7dLnOiJSGChjhUZlTy3WRyORKkHtosPS3GveWB3XZWHgTARgwTB7oF4MeZ-mWusmQL-p0c5o5OchdIOPzpSFkrQ0WSWXNcNKGNCwlduJea88brG4d511d2KWSMwn_vqMRMmQAMV0KgG8ecOCljEnUw5&key=AIzaSyD_7BLKnsQVpu3qP-U3UJYD9otw4lGEnEo,"Cobblestone streets wind through eclectic neighborhoods, where vibrant markets and ancient architecture create a welcoming blend of history and modern charm."
